L1	歌を歌うのは寂しいから	唱着歌儿是因为感到寂寞
L2	目を閉じるのは聞きたいから	闭上眼睛是因为想要聆听
L3	風を読むのはあなたを	阅读微风是因为
L4	少しでも近くに感じたいから	想要更近地感受你
L5	明かりになったあなたへ	致化作光明的你
L6	空を飛べるまで待っていて	在能够飞向宇宙前还请等等
L7	明かりになったあなたの	化作光明的你的那颗心脏
L8	心臓は点滅するかしら	仍忽明忽暗地闪烁着吗
L9	歌を歌うのは哀しいから	唱起歌儿是因为感到悲伤
L10	目を閉じるのは泣きたいから	闭上眼睛是因为想要哭泣
L11	風を読むのはあなたに	阅读微风是因为
L12	少しでも早く会いたいから	怎样也想快些见到你
L13	明かりになったあなたへ	致化作光明的你
L14	空に届くまで待っていて	在到达宇宙之前还请等等
L15	明かりになったあなたの	化作光明的你的那颗心脏
L16	心臓は凍らずいるかしら	仍没有冻结地跳动着吗
L17	・・・ー・・ーーー・・・ー・ー・ーーーーー・・ー	( I Love You )
L18	・・・ー・・ーーー・・・ー・ー・ーーーーー・・ー	（我爱你）
L19	明かりになったあなたへ	致化作光明的你
L20	空で会えるまで待っていて	在能够相会于宇宙之前还请等等
L21	明かりになったあなたの	化作光明的你的那颗心脏
L22	心臓は赤く光るかしら	仍闪烁着红色的光芒吗
L23	・・・ー・・ーーー・・・ー・ー・ーーーーー・・ー	( I Love You )
L24	・・・ー・・ーーー・・・ー・ー・ーーーーー・・ー	( I Love You )
L25	・・・ー・・ーーー・・・ー・ー・ーーーーー・・ー	（我爱你）
L26	・・・ー・・ーーー・・・ー・ー・ーーーーー・・ー	（我爱你）
L27	明かりになったあなたへ	致化作光明的你
L28	空を飛べるまで待っていて	在能够飞向宇宙前还请等等
L29	明かりになったあなたの	化作光明的你的那颗心脏
L30	心臓は点滅するかしら	仍忽明忽暗地闪烁着吗
